step,domain,key,tree,measure,value
143000,bookcorpus,halfB,real,selectivity_prefers_other,0.05
143000,bookcorpus,halfB,null,selectivity_coherence_median,0.247534632588844
143000,bookcorpus,halfB,null,selectivity_frac_coherent,0.04
143000,bookcorpus,halfB,null,selectivity_prefers_whitespace,0.03
143000,bookcorpus,halfB,null,selectivity_prefers_punctuation,0.16
143000,bookcorpus,halfB,null,selectivity_prefers_digit,0.14
143000,bookcorpus,halfB,null,selectivity_prefers_function_word,0.13
143000,bookcorpus,halfB,null,selectivity_prefers_content_word,0.3
143000,bookcorpus,halfB,null,selectivity_prefers_continuation,0.16
143000,bookcorpus,halfB,null,selectivity_prefers_other,0.08
143000,tldr17,halfA,real,selectivity_coherence_median,0.47649918788534507
143000,tldr17,halfA,real,selectivity_frac_coherent,0.47
143000,tldr17,halfA,real,selectivity_prefers_whitespace,0.07
143000,tldr17,halfA,real,selectivity_prefers_punctuation,0.1
143000,tldr17,halfA,real,selectivity_prefers_digit,0.07
143000,tldr17,halfA,real,selectivity_prefers_function_word,0.13
143000,tldr17,halfA,real,selectivity_prefers_content_word,0.2
143000,tldr17,halfA,real,selectivity_prefers_continuation,0.24
143000,tldr17,halfA,real,selectivity_prefers_other,0.19
143000,tldr17,halfA,null,selectivity_coherence_median,0.20796844803651138
143000,tldr17,halfA,null,selectivity_frac_coherent,0.0
143000,tldr17,halfA,null,selectivity_prefers_whitespace,0.02
143000,tldr17,halfA,null,selectivity_prefers_punctuation,0.01
143000,tldr17,halfA,null,selectivity_prefers_digit,0.13
143000,tldr17,halfA,null,selectivity_prefers_function_word,0.06
143000,tldr17,halfA,null,selectivity_prefers_content_word,0.15
143000,tldr17,halfA,null,selectivity_prefers_continuation,0.35
143000,tldr17,halfA,null,selectivity_prefers_other,0.28
143000,tldr17,halfB,real,selectivity_coherence_median,0.48246799557869885
143000,tldr17,halfB,real,selectivity_frac_coherent,0.49
143000,tldr17,halfB,real,selectivity_prefers_whitespace,0.06
143000,tldr17,halfB,real,selectivity_prefers_punctuation,0.1
143000,tldr17,halfB,real,selectivity_prefers_digit,0.08
143000,tldr17,halfB,real,selectivity_prefers_function_word,0.18
143000,tldr17,halfB,real,selectivity_prefers_content_word,0.18
143000,tldr17,halfB,real,selectivity_prefers_continuation,0.23
143000,tldr17,halfB,real,selectivity_prefers_other,0.17
143000,tldr17,halfB,null,selectivity_coherence_median,0.2017914530203171
143000,tldr17,halfB,null,selectivity_frac_coherent,0.0
143000,tldr17,halfB,null,selectivity_prefers_whitespace,0.01
143000,tldr17,halfB,null,selectivity_prefers_punctuation,0.03
143000,tldr17,halfB,null,selectivity_prefers_digit,0.25
143000,tldr17,halfB,null,selectivity_prefers_function_word,0.01
143000,tldr17,halfB,null,selectivity_prefers_content_word,0.11
143000,tldr17,halfB,null,selectivity_prefers_continuation,0.37
143000,tldr17,halfB,null,selectivity_prefers_other,0.22
143000,wikitext,halfA,real,selectivity_coherence_median,0.48676846221663983
143000,wikitext,halfA,real,selectivity_frac_coherent,0.46
143000,wikitext,halfA,real,selectivity_prefers_whitespace,0.08
143000,wikitext,halfA,real,selectivity_prefers_punctuation,0.14
143000,wikitext,halfA,real,selectivity_prefers_digit,0.13
143000,wikitext,halfA,real,selectivity_prefers_function_word,0.24
143000,wikitext,halfA,real,selectivity_prefers_content_word,0.12
143000,wikitext,halfA,real,selectivity_prefers_continuation,0.18
143000,wikitext,halfA,real,selectivity_prefers_other,0.11
143000,wikitext,halfA,null,selectivity_coherence_median,0.18924442701077596
143000,wikitext,halfA,null,selectivity_frac_coherent,0.0
143000,wikitext,halfA,null,selectivity_prefers_whitespace,0.18
143000,wikitext,halfA,null,selectivity_prefers_punctuation,0.01
143000,wikitext,halfA,null,selectivity_prefers_digit,0.15
143000,wikitext,halfA,null,selectivity_prefers_function_word,0.17
143000,wikitext,halfA,null,selectivity_prefers_content_word,0.12
143000,wikitext,halfA,null,selectivity_prefers_continuation,0.23
143000,wikitext,halfA,null,selectivity_prefers_other,0.14
143000,wikitext,halfB,real,selectivity_coherence_median,0.4793480451389935
143000,wikitext,halfB,real,selectivity_frac_coherent,0.45
143000,wikitext,halfB,real,selectivity_prefers_whitespace,0.09
143000,wikitext,halfB,real,selectivity_prefers_punctuation,0.15
143000,wikitext,halfB,real,selectivity_prefers_digit,0.12
143000,wikitext,halfB,real,selectivity_prefers_function_word,0.22
143000,wikitext,halfB,real,selectivity_prefers_content_word,0.11
143000,wikitext,halfB,real,selectivity_prefers_continuation,0.18
143000,wikitext,halfB,real,selectivity_prefers_other,0.13
143000,wikitext,halfB,null,selectivity_coherence_median,0.22782404586465546
143000,wikitext,halfB,null,selectivity_frac_coherent,0.02
143000,wikitext,halfB,null,selectivity_prefers_whitespace,0.17
143000,wikitext,halfB,null,selectivity_prefers_punctuation,0.03
143000,wikitext,halfB,null,selectivity_prefers_digit,0.23
143000,wikitext,halfB,null,selectivity_prefers_function_word,0.15
143000,wikitext,halfB,null,selectivity_prefers_content_word,0.02
143000,wikitext,halfB,null,selectivity_prefers_continuation,0.23
143000,wikitext,halfB,null,selectivity_prefers_other,0.17
16000,agnews,halfA,real,selectivity_coherence_median,0.4914316795254151
16000,agnews,halfA,real,selectivity_frac_coherent,0.48
16000,agnews,halfA,real,selectivity_prefers_whitespace,0.04
16000,agnews,halfA,real,selectivity_prefers_punctuation,0.16
16000,agnews,halfA,real,selectivity_prefers_digit,0.12
16000,agnews,halfA,real,selectivity_prefers_function_word,0.16
16000,agnews,halfA,real,selectivity_prefers_content_word,0.27
16000,agnews,halfA,real,selectivity_prefers_continuation,0.2
16000,agnews,halfA,real,selectivity_prefers_other,0.05
16000,agnews,halfA,null,selectivity_coherence_median,0.27330521509425765
16000,agnews,halfA,null,selectivity_frac_coherent,0.01
16000,agnews,halfA,null,selectivity_prefers_whitespace,0.0
16000,agnews,halfA,null,selectivity_prefers_punctuation,0.04
16000,agnews,halfA,null,selectivity_prefers_digit,0.11
16000,agnews,halfA,null,selectivity_prefers_function_word,0.02
16000,agnews,halfA,null,selectivity_prefers_content_word,0.62
